t,agent_id,type,x,y,v,serving_cell,snr_dB,los
140,veh3,veh,782.1308945136213,316.4127576177352,7.3746767634626105,g0,4.2,0
141,ped0,ped,378.34245215921555,446.26253805709865,0.7711737563673522,g0,-0.1,0
141,ped1,ped,671.3380358686819,558.5462060193779,0.9215028803946916,g2,1.4,0
141,ped2,ped,601.6620056662047,290.3145849533344,0.6686437612777808,g0,62.7,1
141,ped3,ped,788.7160034719309,485.8227723160579,1.1908760298628152,g2,7.3,0
141,ped4,ped,527.3169989045242,525.8688080469296,0.7842644692684311,g0,1.1,0
141,veh1,veh,510.3027345066435,532.129251372829,13.120452888802468,g0,0.7,0
141,veh2,veh,752.1107674129372,532.9781979194912,4.404009956678466,g2,5.2,0
141,veh3,veh,775.4366051441573,322.14795758013565,8.811013916237988,g0,4.5,0
142,ped0,ped,379.32464518252584,446.2855571227304,0.9824703614503959,g0,-0.1,0
142,ped1,ped,672.2530844757536,558.236157537888,0.9661975934801741,g2,1.4,0
142,ped2,ped,602.6340725465667,290.18574055767226,0.980499105209019,g0,62.9,1
142,ped3,ped,788.4933705434249,485.125225518002,0.738071713865825,g2,7.3,0
142,ped4,ped,527.6792025616389,526.6497676050208,0.8617484778936746,g0,1.1,0
142,veh1,veh,497.503452662248,532.9006262389332,12.82769831586986,g0,0.5,0
142,veh2,veh,753.0449514407044,527.9546573560409,5.432167055985379,g2,5.3,0
142,veh3,veh,767.4822207041392,329.12402136651895,10.575365875205733,g0,4.9,0
143,ped0,ped,380.3709169781324,446.31007796390935,1.0465672274280222,g0,-0.1,0
143,ped1,ped,673.1994095620422,557.9155115593769,0.9992223516388914,g2,1.4,0
143,ped2,ped,603.6337251918274,290.05323975597565,1.0083241636963793,g0,63.2,1
143,ped3,ped,788.2359520656115,484.3186896826962,0.8533926152588779,g2,7.3,0
143,ped4,ped,528.037226413944,527.4217149445634,0.8518039608746928,g0,1.1,0
143,veh1,veh,484.92384337359266,533.2083688421235,12.585653489971378,g0,0.3,0
143,veh2,veh,750.9360523842068,522.3030610145138,6.002136394825317,g2,5.2,0
